from_year,area.avg,to_year,model,group,weight
2016,7.05396,NA,Abarth,124 Spider Cabriolet,1060
2008,5.945164904761905,NA,Abarth,500 Hatchback,1034.857142857143
2010,5.929872666666666,NA,Abarth,500C Cabriolet,1073.3333333333333
2016,5.95482,NA,Abarth,595 Hatchback,1030
2016,5.95482,NA,Abarth,595 Cabrio Cabriolet,1060
2014,6.03028,NA,Abarth,695 Hatchback,997
2017,5.95482,NA,Abarth,695 Hatchback,1050
2008,6.79861,2010,Abarth,Grande Punto Hatchback,1130
2010,6.995865,2014,Abarth,Punto Evo Hatchback,1185
1994,7.007216,1999,Alfa Romeo,145 Hatchback,1143.2941176470588
1999,6.952432,2000,Alfa Romeo,145 Hatchback,1162.857142857143
1995,7.287984,1999,Alfa Romeo,146 Hatchback,1171.0588235294117
1999,7.25032,2000,Alfa Romeo,146 Hatchback,1192.142857142857
2000,7.2168613125,2005,Alfa Romeo,147 Hatchback,1217.1875
2001,7.20993,2005,Alfa Romeo,147 Hatchback,1233.3870967741937
2005,7.301567,2007,Alfa Romeo,147 Hatchback,1218.4615384615386
2005,7.301567,2007,Alfa Romeo,147 Hatchback,1238.4615384615386
2007,7.301567,2009,Alfa Romeo,147 Hatchback,1219.5454545454545
2007,7.301567,2010,Alfa Romeo,147 Hatchback,1239.5454545454545
1992,7.5531,1995,Alfa Romeo,155 Sedan,1291
1995,7.68639,1997,Alfa Romeo,155 Sedan,1265.3333333333333
1997,7.73035,2002,Alfa Romeo,156 Sedan,1268.75
2002,7.7430071428571425,2003,Alfa Romeo,156 Sedan,1309.2857142857142
2003,7.736118333333333,2005,Alfa Romeo,156 Sedan,1285.7575757575758
2000,7.73035,2002,Alfa Romeo,156 Sportwagon Stationwagon,1324.375
2002,7.7430071428571425,2003,Alfa Romeo,156 Sportwagon Stationwagon,1359.2857142857142
2003,7.746584333333333,2005,Alfa Romeo,156 Sportwagon Stationwagon,1344.5454545454545
2005,8.51848,2008,Alfa Romeo,159 Sedan,1548.1818181818182
2008,8.52963,2010,Alfa Romeo,159 Sedan,1498.939393939394
2006,8.51848,2008,Alfa Romeo,159 Sportwagon Stationwagon,1569.8484848484848
2008,8.52963,2010,Alfa Romeo,159 Sportwagon Stationwagon,1549.3939393939395
1988,8.0168,1993,Alfa Romeo,164 Sedan,1298.142857142857
1993,8.052,1998,Alfa Romeo,164 Sedan,1422.6363636363637
1998,8.5668,2003,Alfa Romeo,166 Sedan,1464.4444444444443
2003,8.496,2007,Alfa Romeo,166 Sedan,1472.7777777777778
1983,6.47218,1986,Alfa Romeo,33 Hatchback,903.3333333333334
1986,6.47218,1990,Alfa Romeo,33 Hatchback,917.5
1990,6.57705,1994,Alfa Romeo,33 Hatchback,966.7777777777778
1984,6.47218,1987,Alfa Romeo,33 Giardinetta Stationwagon,990
1988,6.676904,1990,Alfa Romeo,33 SportWagon Stationwagon,925
1991,6.7788,1994,Alfa Romeo,33 SportWagon Stationwagon,973.3333333333334
2015,7.45332,NA,Alfa Romeo,4C Spider Cabriolet,974
1985,7.1654333333333335,1989,Alfa Romeo,75 Sedan,1123.3333333333333
1989,7.174814285714286,1992,Alfa Romeo,75 Sedan,1164.2857142857142
1984,7.192458,1988,Alfa Romeo,90 Sedan,1147.5
1983,8.01584,1986,Alfa Romeo,Alfa 6 Sedan,1470
1980,6.428448,1981,Alfa Romeo,Alfasud Hatchback,885
1980,6.32502,1982,Alfa Romeo,Alfasud Hatchback,870
1981,6.366391200000001,1984,Alfa Romeo,Alfasud Hatchback,883
1982,6.32502,1984,Alfa Romeo,Alfasud Hatchback,895
1981,7.1914,1983,Alfa Romeo,Alfetta Sedan,1158
1983,7.1914,1985,Alfa Romeo,Alfetta Sedan,1142
2006,8.07579,2008,Alfa Romeo,Brera Coupe,1545
2008,8.07579,2011,Alfa Romeo,Brera Coupe,1515.5
2005,7.838365,2007,Alfa Romeo,Crosswagon Stationwagon,1505
2016,8.691659620689656,NA,Alfa Romeo,Giulia Sedan,1417.5172413793102
1980,6.9465,1983,Alfa Romeo,Giulietta Sedan,1090
1983,6.9465,1985,Alfa Romeo,Giulietta Sedan,1133.3333333333333
2010,7.823098,2014,Alfa Romeo,Giulietta Hatchback,1275.909090909091
2014,7.823098,2016,Alfa Romeo,Giulietta Hatchback,1281.142857142857
2016,7.823098,NA,Alfa Romeo,Giulietta Hatchback,1279.1304347826087
2004,7.914107,2007,Alfa Romeo,GT Coupe,1305.7142857142858
2007,7.914107,2011,Alfa Romeo,GT Coupe,1307.1875
1981,7.08864,1986,Alfa Romeo,GTV Coupe,1160
1995,7.6273,1998,Alfa Romeo,GTV Coupe,1347.2
1998,7.6273,2003,Alfa Romeo,GTV Coupe,1368.9285714285713
2003,7.635024,2005,Alfa Romeo,GTV Coupe,1370
2008,6.994273030303031,2013,Alfa Romeo,Mito Hatchback,1123.030303030303
2013,6.98836,NA,Alfa Romeo,Mito Hatchback,1116.764705882353
2016,6.98836,NA,Alfa Romeo,Mito Hatchback,1115
1983,6.92261,1990,Alfa Romeo,Spider Convertible,1040
1990,6.9438,1993,Alfa Romeo,Spider Convertible,1120
1995,7.6273,1998,Alfa Romeo,Spider Convertible,1323.5
1998,7.6273,2003,Alfa Romeo,Spider Convertible,1362.9166666666667
2003,7.635024,2006,Alfa Romeo,Spider Convertible,1401.6666666666667
2006,8.03919,2008,Alfa Romeo,Spider Convertible,1593
2008,8.03919,2011,Alfa Romeo,Spider Convertible,1570
1983,6.51456,1989,Alfa Romeo,Sprint Coupe,NA
2017,8.920788250000001,NA,Alfa Romeo,Stelvio Suv,1611.65
1993,6.06372,1999,Asia Motors,Rocsta Suv,1335
2011,5.17104,2013,Aston Martin,Cygnet Hatchback,988
2016,9.19366,NA,Aston Martin,DB11 Coupe Coupe,1770
2018,9.19366,NA,Aston Martin,DB11 Volante Convertible,1870
1994,8.501993333333333,2004,Aston Martin,DB7 Coupe,1736.6666666666667
1996,8.4836,2004,Aston Martin,DB7 Volante Convertible,1862.5
2004,8.821875,2012,Aston Martin,DB9 Coupe,1745
2012,8.85,NA,Aston Martin,DB9 Coupe Coupe,1785
2004,8.821875,2012,Aston Martin,DB9 Volante Convertible,1820
2012,8.85,NA,Aston Martin,DB9 Volante Convertible,1780
2008,8.993505,2012,Aston Martin,DBS Coupe,1717.5
2010,8.993505,2012,Aston Martin,DBS Volante Convertible,1730
2010,9.546138,NA,Aston Martin,Rapide Sedan,1977.5
2001,8.980125,2007,Aston Martin,V12 Vanquish Coupe,1815
2010,8.171808333333333,NA,Aston Martin,V12 Vantage Coupe Coupe,1675
2012,8.1733625,NA,Aston Martin,V12 Vantage Roadster Convertible,1707.5
1997,9.2266525,2001,Aston Martin,V8 Coupe Coupe,1970
2005,8.1719448,NA,Aston Martin,V8 Vantage Coupe,1606
2007,8.1719448,NA,Aston Martin,V8 Vantage Roadster Convertible,1710
1997,9.4944,2001,Aston Martin,V8 Volante Convertible,2000
2012,8.9916,NA,Aston Martin,Vanquish Coupe,1785
2014,9.00684,NA,Aston Martin,Vanquish Volante Convertible,1844
2018,8.67103,NA,Aston Martin,Vantage Coupe,1530
1989,8.80672,1996,Aston Martin,Virage Coupe,1925
2012,8.9916,2012,Aston Martin,Virage Coupe,1785
2012,8.9916,2012,Aston Martin,Virage Volante Convertible,1890
