key,model,group,doors,from_year,to_year,type,weight
abarth-124-spider-2016/3560,Abarth,124 Spider Cabriolet,2,2016,available,cabriolet,1060
abarth-500-2008/1,Abarth,500 Hatchback,3,2008,2012,hatchback,905
abarth-500-2008/1,Abarth,500 Hatchback,3,2015,2015,hatchback,1035
abarth-500-2008/1,Abarth,500 Hatchback,3,2015,present,hatchback,1025
abarth-500-2008/1,Fiat,500 Hatchback,3,2008,2012,hatchback,905
abarth-500-2008/1,Fiat,500 Hatchback,3,2015,2015,hatchback,1035
abarth-500-2008/1,Fiat,500 Hatchback,3,2015,present,hatchback,1025
abarth-500c-2010/2,Abarth,500C Cabriolet,3,2010,2012,hatchback,1085
abarth-500c-2010/2,Abarth,500C Cabriolet,3,2015,present,hatchback,1063.3333333333333
abarth-595-2016/3561,Abarth,595 Hatchback,3,2016,available,hatchback,1030
abarth-595-cabrio-2016/3562,Abarth,595 Cabrio Cabriolet,3,2016,available,cabriolet,1060
abarth-695-2014/4115,Abarth,695 Hatchback,3,2014,june 2016,hatchback,997
abarth-695-2017/4118,Abarth,695 Hatchback,3,2017,march 2019,hatchback,1050
abarth-grande-punto-2008/3,Abarth,Grande Punto Hatchback,3,2008,2010,hatchback,1130
abarth-grande-punto-2008/3,Fiat,Grande Punto Hatchback,3,2008,2010,hatchback,1130
abarth-punto-evo-2010/4,Abarth,Punto Evo Hatchback,3,2010,2013,hatchback,1185
abarth-punto-evo-2010/4,Abarth,Punto Evo Hatchback,3,2012,2014,hatchback,1185
abarth-punto-evo-2010/4,Fiat,Punto Evo Hatchback,3,2010,2013,hatchback,1185
abarth-punto-evo-2010/4,Fiat,Punto Evo Hatchback,3,2012,2014,hatchback,1185
alfa-romeo-145-1994/5,Alfa Romeo,145 Hatchback,3,1994,1996,hatchback,1150
alfa-romeo-145-1994/5,Alfa Romeo,145 Hatchback,3,1994,1997,hatchback,1102
alfa-romeo-145-1999/6,Alfa Romeo,145 Hatchback,3,1999,2000,hatchback,1126.6666666666667
alfa-romeo-146-1995/7,Alfa Romeo,146 Hatchback,5,1995,1996,hatchback,1174
alfa-romeo-146-1995/7,Alfa Romeo,146 Hatchback,5,1995,1997,hatchback,1150
alfa-romeo-146-1999/8,Alfa Romeo,146 Hatchback,5,1999,2000,hatchback,1151.6666666666667
alfa-romeo-147-2000/9,Alfa Romeo,147 Hatchback,3,2000,2004,hatchback,1171.6666666666667
alfa-romeo-147-2001/12,Alfa Romeo,147 Hatchback,5,2001,2004,hatchback,1188.3333333333333
alfa-romeo-147-2005/10,Alfa Romeo,147 Hatchback,3,2005,2007,hatchback,1235
alfa-romeo-147-2005/13,Alfa Romeo,147 Hatchback,5,2005,2007,hatchback,1255
alfa-romeo-147-2007/11,Alfa Romeo,147 Hatchback,3,2007,2007,hatchback,1238.3333333333333
alfa-romeo-147-2007/14,Alfa Romeo,147 Hatchback,5,2007,2007,hatchback,1245
alfa-romeo-147-2007/14,Alfa Romeo,147 Hatchback,5,2007,2010,hatchback,1285
alfa-romeo-155-1992/15,Alfa Romeo,155 Sedan,4,1992,1995,sedan,1247.6666666666667
alfa-romeo-155-1995/16,Alfa Romeo,155 Sedan,4,1995,1996,sedan,1375.5
alfa-romeo-155-1995/16,Alfa Romeo,155 Sedan,4,1995,1997,sedan,1227
alfa-romeo-156-1997/17,Alfa Romeo,156 Sedan,4,1997,2000,sedan,1287.5
alfa-romeo-156-1997/17,Alfa Romeo,156 Sedan,4,1997,2002,sedan,1225
alfa-romeo-156-2002/18,Alfa Romeo,156 Sedan,4,2002,2003,sedan,1293.3333333333333
alfa-romeo-156-2003/19,Alfa Romeo,156 Sedan,4,2003,2005,sedan,1280
