model,group,name,weight,from_year,to_year
abarth,124-spider|cabriolet,2016 Abarth 124 Spider 1.4 MultiAir 16v,1060 kg,2016,available
abarth,124-spider|cabriolet,2016 Abarth 124 Spider 1.4 MultiAir 16v,1060 kg,2016,available
abarth,500|hatchback,2008 Abarth 500 1.4 16v T-Jet,905 kg,2008,2012
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet 595 Competizione 180,1045 kg,2015,present
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet 595 Turismo 160,1010 kg,2015,present
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet 595 Turismo 160,1020 kg,2015,present
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet 595 Competizione 160,1035 kg,2015,2015
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet 595 Competizione 160,1085 kg,2015,2015
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet Custom 140,1010 kg,2015,present
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet Elaborabile 140,1010 kg,2015,present
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet Elaborabile 140,1020 kg,2015,present
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet 595 Competizione 180,1045 kg,2015,present
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet Elaborabile 135,1085 kg,2015,2015
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet Elaborabile 135,1035 kg,2015,2015
abarth,500|hatchback,2015 Abarth 500 1.4 16v T-Jet Custom 135,1035 kg,2015,2015
abarth,500|hatchback,2014 Abarth 695 Biposto,997 kg,2014,present
abarth,500|hatchback,2014 Abarth 500 1.4 16v T-Jet Custom 135,1035 kg,2014,2015
abarth,500|hatchback,2012 Abarth 500 1.4 16v T-Jet 595 Competizione 160,1085 kg,2012,2015
abarth,500|hatchback,2012 Abarth 500 1.4 16v T-Jet 595 Competizione 160,1035 kg,2012,2015
abarth,500|hatchback,2012 Abarth 500 1.4 16v T-Jet 595 Turismo 160,1085 kg,2012,2015
abarth,500|hatchback,2012 Abarth 500 1.4 16v T-Jet 595 Turismo 160,1035 kg,2012,2015
abarth,500|hatchback,2012 Abarth 500 1.4 16v T-Jet Elaborabile 140,1085 kg,2012,2015
abarth,500|hatchback,2012 Abarth 500 1.4 16v T-Jet Elaborabile 135,1035 kg,2012,2015
abarth,500|hatchback,2015 Fiat 500 TwinAir 80 Society Edition,905 kg,2015,2016
abarth,500|hatchback,2015 Fiat 500 TwinAir 80 Lounge,915 kg,2015,present
abarth,500|hatchback,2015 Fiat 500 TwinAir 80 Lounge,905 kg,2015,present
abarth,500|hatchback,2015 Fiat 500 TwinAir 80 PopStar,915 kg,2015,present
abarth,500|hatchback,2015 Fiat 500 TwinAir 80 PopStar,905 kg,2015,present
abarth,500|hatchback,2015 Fiat 500 1.2 Lounge,840 kg,2015,present
abarth,500|hatchback,2015 Fiat 500 1.2 PopStar,840 kg,2015,present
abarth,500|hatchback,2015 Fiat 500 TwinAir 60 Pop,840 kg,2015,present
abarth,500|hatchback,2017 Fiat 500 TwinAir 60 PopStar,840 kg,2017,available
abarth,500|hatchback,2016 Fiat 500 TwinAir 105 S,915 kg,2016,available
abarth,500|hatchback,2016 Fiat 500 TwinAir 80 S,915 kg,2016,available
abarth,500|hatchback,2016 Fiat 500 TwinAir 80 S,905 kg,2016,available
abarth,500|hatchback,2016 Fiat 500 TwinAir 80 Holiday Edition,915 kg,2016, 2016
abarth,500|hatchback,2016 Fiat 500 TwinAir 80 Holiday Edition,905 kg,2016, 2016
abarth,500|hatchback,2016 Fiat 500 1.2 S,840 kg,2016, 2017
abarth,500|hatchback,2016 Fiat 500 TwinAir 105 Riva,915 kg,2016, 2017
abarth,500c|cabriolet,2010 Abarth 500C 1.4 16v T-Jet Competizione,1085 kg,2010,2012
abarth,500c|cabriolet,2015 Abarth 500C 1.4 16v T-Jet 595 Competizione 180,1065 kg,2015,present
abarth,500c|cabriolet,2015 Abarth 500C 1.4 16v T-Jet 595 Competizione 180,1065 kg,2015,present
abarth,500c|cabriolet,2015 Abarth 500C 1.4 16v T-Jet Elaborabile 140,1060 kg,2015,present
